words	class0	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	class17	class18	class19
Moryella	0.00000000	0.00202437	0.00001734	0.00099998	0.00000000	0.00000013	0.07506471	0.00000000	0.00039554	0.00000000	0.00000870	0.00000000	0.00000045	0.00000000	0.00000000	0.00000000	0.00001395	0.00000000	0.00000000	0.00008772
Acinetobacter	0.00008999	0.00000000	0.00000952	0.00000291	0.00000000	4.87840550	0.00000000	0.00004588	0.00000001	0.00000000	0.00000000	0.00000005	0.00001196	0.00000012	0.00000000	0.00007503	0.00000176	0.10848976	0.00000000	0.00003807
Streptophyta	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000006	0.00000000	0.00000000	0.00000003	0.00000000	0.00000002	0.00000023	0.00000000	0.00000000	0.00000000	504.39806673	0.00000000	0.00000000	0.00007525
Shuttleworthia	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000007	0.00000000	200.79214265	0.00000000	0.00000000	0.00000000	0.00000018	0.00002187	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Pyramidobacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000002	0.00000000	0.00000000	0.00063690	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Xanthomonas	0.00000000	0.00000000	0.00000315	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00037831	0.00000000	0.00000000	0.00000001	0.00000000	0.00000000	0.00000000	0.00000034	0.00001029	0.00000000	0.00003391	0.00015189
Pedobacter	0.00000646	0.00000000	0.00001979	0.00026972	0.00000000	11.82880003	0.00000073	0.00001081	0.00070054	0.00000152	0.00000000	0.00000000	0.00008646	0.00002324	0.00005063	0.77943259	0.00000550	0.00139249	0.00000000	0.00006214
Cardiobacterium	0.00001355	0.00000000	0.00003174	0.00000000	0.00005182	0.00000000	0.00000000	0.00000000	0.00000000	0.11524265	0.00000126	0.00000006	0.00000018	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Paracoccus	0.00000000	0.00000000	0.00000235	0.00000000	0.00005237	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00002386	0.00000000	0.00000469	0.00000000
Desulfobulbus	0.00000000	0.00000002	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000075	0.00000000	664.34916577	0.00000000	0.00000000	0.00000130	0.00000000	0.00000035	0.00000000
