STEP	ISD
1451	45310.92521737
1452	45310.92521692
1453	45310.92521648
1454	45310.92521604
1455	45310.92521560
1456	45310.92521516
1457	45310.92521473
1458	45310.92521430
1459	45310.92521387
1460	45310.92521344
1461	45310.92521302
1462	45310.92521260
1463	45310.92521218
1464	45310.92521176
1465	45310.92521134
1466	45310.92521093
1467	45310.92521052
1468	45310.92521011
1469	45310.92520970
1470	45310.92520930
1471	45310.92520889
1472	45310.92520849
1473	45310.92520341
1474	45310.92520008
1475	45310.92519970
1476	45310.92519932
1477	45310.92519894
1478	45310.92519857
1479	45310.92519819
1480	45310.92519782
1481	45310.92519745
1482	45310.92519709
1483	45310.92519672
1484	45310.92519636
1485	45310.92519600
1486	45310.92519564
1487	45310.92519528
1488	45310.92519493
1489	45310.92519458
1490	45310.92519422
1491	45310.92519387
1492	45310.92519353
1493	45310.92519318
1494	45310.92519284
